59.100 ( 0.700 ) 59.100 ( 0.700 ) 71.871 ( 0.839 ) 106.950 ( 6.697 )
58.800 ( 0.812 ) 59.100 ( 0.768 ) 72.390 ( 0.944 ) 105.350 ( 4.902 )
58.700 ( 0.714 ) 59.300 ( 0.458 ) 72.788 ( 1.292 ) 110.950 ( 7.256 )
58.450 ( 0.805 ) 58.950 ( 0.740 ) 72.755 ( 0.997 ) 106.500 ( 6.012 )
58.350 ( 0.853 ) 59.000 ( 0.632 ) 72.504 ( 1.051 ) 106.000 ( 6.325 )
58.150 ( 1.108 ) 59.000 ( 1.000 ) 73.102 ( 0.941 ) 105.900 ( 6.324 )
58.150 ( 1.108 ) 59.350 ( 0.477 ) 72.967 ( 0.735 ) 107.950 ( 8.806 )
58.050 ( 1.203 ) 59.050 ( 0.865 ) 73.275 ( 1.114 ) 106.500 ( 5.861 )
57.800 ( 1.327 ) 59.150 ( 1.108 ) 73.602 ( 1.036 ) 107.750 ( 8.419 )
57.550 ( 1.431 ) 58.750 ( 1.135 ) 72.847 ( 1.321 ) 107.650 ( 6.695 )
57.550 ( 1.431 ) 59.400 ( 0.490 ) 73.342 ( 1.249 ) 107.250 ( 6.927 )
57.500 ( 1.396 ) 59.100 ( 0.436 ) 73.411 ( 1.422 ) 106.750 ( 8.694 )
57.500 ( 1.396 ) 59.450 ( 0.497 ) 73.527 ( 1.151 ) 109.650 ( 9.499 )
57.500 ( 1.396 ) 59.100 ( 0.436 ) 72.893 ( 1.231 ) 105.150 ( 5.561 )
57.250 ( 1.337 ) 59.150 ( 1.014 ) 73.339 ( 0.880 ) 109.750 ( 7.105 )
57.250 ( 1.337 ) 59.300 ( 0.458 ) 73.090 ( 1.111 ) 105.900 ( 5.440 )
57.150 ( 1.276 ) 59.200 ( 0.748 ) 72.953 ( 0.892 ) 105.250 ( 6.970 )
57.050 ( 1.359 ) 59.100 ( 1.044 ) 73.379 ( 1.037 ) 108.050 ( 8.669 )
57.050 ( 1.359 ) 59.250 ( 0.536 ) 73.503 ( 1.076 ) 106.650 ( 5.833 )
56.950 ( 1.284 ) 59.250 ( 0.766 ) 73.572 ( 0.850 ) 108.950 ( 8.231 )
56.950 ( 1.284 ) 59.350 ( 0.572 ) 73.482 ( 1.134 ) 108.800 ( 6.218 )
56.950 ( 1.284 ) 59.300 ( 0.557 ) 73.616 ( 1.116 ) 109.850 ( 6.959 )
56.850 ( 1.352 ) 59.100 ( 1.044 ) 72.728 ( 0.887 ) 104.800 ( 6.447 )
56.850 ( 1.352 ) 59.500 ( 0.500 ) 73.346 ( 1.043 ) 109.200 ( 6.801 )
56.800 ( 1.327 ) 59.150 ( 0.654 ) 72.792 ( 1.121 ) 107.900 ( 8.746 )
56.650 ( 1.236 ) 59.100 ( 0.831 ) 73.481 ( 1.048 ) 107.850 ( 7.227 )
56.650 ( 1.236 ) 59.000 ( 0.632 ) 73.677 ( 0.811 ) 109.100 ( 5.476 )
56.550 ( 1.284 ) 59.150 ( 1.062 ) 73.465 ( 1.495 ) 106.050 ( 8.022 )
