%%% Iteration - 1
10	17	3.31196	0.0393106	0.632114
4	31	2.60552	0.0393106	0.632114
19	50	2.31382	0.0393106	0.632114
30	46	2.19361	0.0393106	0.632114
22	29	1.91633	0.0393106	0.632114
2	42	1.76859	0.0393106	0.632114
28	40	1.76011	0.0393106	0.632114
7	21	1.71522	0.0393106	0.632114
26	41	1.56736	0.0393106	0.632114
16	32	1.4907	0.0393106	0.632114
6	45	1.44757	0.0393106	0.632114
43	44	1.26782	0.0393106	0.632114
47	48	1.07338	0.0393106	0.632114
8	12	1.0483	0.0393106	0.632114
18	35	1.03143	0.0393106	0.632114
3	15	0.985146	0.0393106	0.632114
23	24	0.980052	0.0393106	0.632114
11	27	0.973134	0.0393106	0.632114
5	39	0.896636	0.0393106	0.632114
1	36	0.827262	0.0393106	0.632114
34	49	0.58973	0.0393106	0.632114
13	37	0.550197	0.0393106	0.632114
20	33	0.465513	0.0393106	0.632114
14	38	0.307374	0.0393106	0.632114
%%% Iteration - 2
51	56	1.70164	0.0598911	0.573572
53	61	1.42158	0.0598911	0.573572
55	58	1.30403	0.0598911	0.573572
52	74	1.29488	0.0598911	0.573572
57	65	1.25886	0.0598911	0.573572
59	62	0.805819	0.0598911	0.573572
54	63	0.658838	0.0598911	0.573572
69	72	0.449336	0.0598911	0.573572
66	73	0.422412	0.0598911	0.573572
67	68	0.383899	0.0598911	0.573572
25	70	0.242258	0.0598911	0.573572
%%% Iteration - 3
76	78	0.828237	0.0961965	0.513048
82	84	0.475442	0.0961965	0.513048
77	83	0.436942	0.0961965	0.513048
9	80	0.219446	0.0961965	0.513048
75	81	0.150813	0.0961965	0.513048
%%% Iteration - 4
87	88	0.254139	0.131105	0.458869
64	86	0.0381123	0.131105	0.458869
%%% Iteration - 5
